anime_id,name,genre,type,episodes,rating,members,genre_set
32281,Kimi no Na wa.,"Drama, Romance, School, Supernatural",Movie,1,9.37,200630,"{'Drama', 'Supernatural', 'School', 'Romance'}"
5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,793665,"{'Drama', 'Magic', 'Adventure', 'Fantasy', 'Action', 'Shounen', 'Military'}"
28977,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262,"{'Parody', 'Historical', 'Samurai', 'Action', 'Shounen', 'Comedy', 'Sci-Fi'}"
9253,Steins;Gate,"Sci-Fi, Thriller",TV,24,9.17,673572,"{'Thriller', 'Sci-Fi'}"
9969,Gintama&#039;,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.16,151266,"{'Parody', 'Historical', 'Samurai', 'Action', 'Shounen', 'Comedy', 'Sci-Fi'}"
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10,9.15,93351,"{'Drama', 'Sports', 'Shounen', 'School', 'Comedy'}"
11061,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148,9.13,425855,"{'Super Power', 'Shounen', 'Adventure', 'Action'}"
820,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",OVA,110,9.11,80679,"{'Drama', 'Space', 'Sci-Fi', 'Military'}"
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9.1,72534,"{'Parody', 'Historical', 'Samurai', 'Action', 'Shounen', 'Comedy', 'Sci-Fi'}"
15417,Gintama&#039;: Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9.11,81109,"{'Parody', 'Historical', 'Samurai', 'Action', 'Shounen', 'Comedy', 'Sci-Fi'}"
4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.06,456749,"{'Drama', 'Romance', 'Fantasy', 'Supernatural', 'Slice of Life'}"
28851,Koe no Katachi,"Drama, School, Shounen",Movie,1,9.05,102733,"{'Drama', 'School', 'Shounen'}"
918,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,336376,"{'Parody', 'Historical', 'Samurai', 'Action', 'Shounen', 'Comedy', 'Sci-Fi'}"
2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888,"{'Drama', 'Action', 'Mecha', 'Military', 'Sci-Fi', 'Super Power'}"
28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25,8.93,179342,"{'Drama', 'Sports', 'Shounen', 'School', 'Comedy'}"
199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,1,8.93,466254,"{'Drama', 'Supernatural', 'Adventure'}"
23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22,8.92,416397,"{'Drama', 'Romance', 'Music', 'Shounen', 'School'}"
24701,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.88,75894,"{'Mystery', 'Historical', 'Adventure', 'Fantasy', 'Seinen', 'Supernatural', 'Slice of Life'}"
12355,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,1,8.84,226193,"{'Fantasy', 'Slice of Life'}"
1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,715151,"{'Action', 'Mecha', 'School', 'Military', 'Sci-Fi', 'Super Power'}"
263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75,8.83,157670,"{'Drama', 'Shounen', 'Sports', 'Comedy'}"
